epoch,accuracy,loss,val_accuracy,val_loss
0,0.7087628841400146,0.5308173298835754,0.8411335349082947,0.3386208415031433
1,0.9342783689498901,0.17770172655582428,0.981966495513916,0.07802419364452362
2,0.9892611503601074,0.041419483721256256,0.9935594797134399,0.02487611025571823
3,0.9948453903198242,0.01690669171512127,0.9939888119697571,0.01883380487561226
4,0.9974226951599121,0.00940126832574606,0.9974237680435181,0.008565406315028667
5,0.9976374506950378,0.007106805685907602,0.999141275882721,0.004220846574753523
6,0.9992482662200928,0.002751546911895275,0.998711884021759,0.004287220537662506
7,0.9998925924301147,0.0010494872694835067,0.9995706081390381,0.002858710242435336
8,0.999677836894989,0.0012029228964820504,0.999141275882721,0.00310525787062943
9,0.9995704293251038,0.001241709920577705,0.999141275882721,0.003938975743949413
